Date,Route,Ridership
08/2019,CityLink Pink,187583
08/2019,CityLink Purple,164864
08/2019,CityLink Red,308148
08/2019,CityLink Silver,162616
08/2019,CityLink Yellow,195865
09/2019,21,59961
09/2019,22,235671
09/2019,26,145037
09/2019,28,100085
09/2019,29,118984
09/2019,30,148216
09/2019,31,95714
09/2019,33,26966
09/2019,34,24526
09/2019,36,64350
09/2019,37,70700
09/2019,38,2046
09/2019,51,41623
09/2019,52,7355
09/2019,53,121176
09/2019,54,210433
09/2019,56,129045
09/2019,57,10821
09/2019,59,35966
09/2019,62,67750
09/2019,63,63954
09/2019,65,37331
09/2019,67,22902
09/2019,69,40555
09/2019,70,53560
09/2019,71,46496
09/2019,73,40216
09/2019,75,39326
09/2019,76,78114
09/2019,77,48793
09/2019,78,116920
09/2019,79,45103
09/2019,80,214964
09/2019,81,47547
09/2019,82,39594
09/2019,83,93083
09/2019,85,144347
09/2019,87,47026
09/2019,89,50138
09/2019,91,18970
09/2019,92,8091
09/2019,93,32758
09/2019,94,49889
09/2019,95,16473
09/2019,103,9012
09/2019,104,716
09/2019,105,4287
09/2019,115,4451
09/2019,120,8859
09/2019,150,4375
09/2019,154,10039
09/2019,CityLink Blue,246328
09/2019,CityLink Brown,214214
09/2019,CityLink Gold,262695
09/2019,CityLink Green,199718
09/2019,CityLink Lime,176055
09/2019,CityLink Navy,213666
09/2019,CityLink Orange,250077
09/2019,CityLink Pink,210502
09/2019,CityLink Purple,168940
09/2019,CityLink Red,305254
09/2019,CityLink Silver,177579
09/2019,CityLink Yellow,197308
10/2019,21,57730
10/2019,22,236356
10/2019,26,147548
10/2019,28,104104
10/2019,29,126698
10/2019,30,154699
10/2019,31,101430
10/2019,33,27963
10/2019,34,25875
10/2019,36,74241
10/2019,37,76779
10/2019,38,2660
10/2019,51,47228
10/2019,52,6513
10/2019,53,121465
10/2019,54,214868
10/2019,56,129988
10/2019,57,11513
10/2019,59,38589
10/2019,62,72493
10/2019,63,68851
10/2019,65,40015
10/2019,67,22765
10/2019,69,42498
10/2019,70,54831
10/2019,71,45340
10/2019,73,40431
10/2019,75,37416
10/2019,76,81708
10/2019,77,51811
10/2019,78,125100
10/2019,79,48098
10/2019,80,213869
10/2019,81,50219
10/2019,82,40113
10/2019,83,97759
10/2019,85,142460
10/2019,87,47838
10/2019,89,50238
10/2019,91,20068
10/2019,92,6506
10/2019,93,37321
10/2019,94,50366
10/2019,95,17249
10/2019,103,9484
10/2019,104,575
10/2019,105,4842
10/2019,115,5251
10/2019,120,9622
10/2019,150,4637
10/2019,154,9703
10/2019,CityLink Blue,250338
10/2019,CityLink Brown,225314
10/2019,CityLink Gold,275729
10/2019,CityLink Green,212801
10/2019,CityLink Lime,175423
10/2019,CityLink Navy,231085
10/2019,CityLink Orange,271082
10/2019,CityLink Pink,214245
10/2019,CityLink Purple,172665
10/2019,CityLink Red,314598
10/2019,CityLink Silver,185583
10/2019,CityLink Yellow,211921
11/2019,21,51743
11/2019,22,209592
11/2019,26,128495
11/2019,28,82784
11/2019,29,104426
11/2019,30,133046
11/2019,31,86987
11/2019,33,24549
11/2019,34,22251
11/2019,36,63548
11/2019,37,60489
11/2019,38,2340
11/2019,51,39928
11/2019,52,6504
11/2019,53,112528
11/2019,54,187792
11/2019,56,118240
11/2019,57,10831
11/2019,59,33051
11/2019,62,64018
11/2019,63,58437
11/2019,65,43013
11/2019,67,19745
11/2019,69,37876
11/2019,70,47707
11/2019,71,40666
11/2019,73,34262
11/2019,75,42245
11/2019,76,69621
11/2019,77,46593
11/2019,78,105000
11/2019,79,41746
11/2019,80,183808
11/2019,81,44942
11/2019,82,34558
11/2019,83,83010
11/2019,85,127469
11/2019,87,41448
11/2019,89,42925
11/2019,91,18293
11/2019,92,8173
11/2019,93,33283
11/2019,94,46716
11/2019,95,12957
11/2019,103,8390
11/2019,104,504
11/2019,105,3924
11/2019,115,4602
11/2019,120,8826
11/2019,150,3872
11/2019,154,8941
11/2019,CityLink Blue,231019
11/2019,CityLink Brown,193741
11/2019,CityLink Gold,256077
11/2019,CityLink Green,176289
11/2019,CityLink Lime,152853
11/2019,CityLink Navy,202526
11/2019,CityLink Orange,235242
11/2019,CityLink Pink,182015
11/2019,CityLink Purple,159645
11/2019,CityLink Red,289600
11/2019,CityLink Silver,160475
11/2019,CityLink Yellow,184651
12/2019,21,50000
12/2019,22,186042
12/2019,26,121472
12/2019,28,76419
12/2019,29,101154
12/2019,30,121724
12/2019,31,84048
12/2019,33,18984
12/2019,34,21009
12/2019,36,59216
12/2019,37,53935
12/2019,38,3140
12/2019,51,37508
12/2019,52,6361
12/2019,53,104014
12/2019,54,172653
12/2019,56,118162
12/2019,57,8216
12/2019,59,30615
12/2019,62,60430
12/2019,63,53478
12/2019,65,39655
12/2019,67,18183
12/2019,69,38306
12/2019,70,47205
12/2019,71,39107
12/2019,73,33225
12/2019,75,40754
12/2019,76,69146
12/2019,77,45548
12/2019,78,105156
12/2019,79,37996
12/2019,80,179434
12/2019,81,40875
12/2019,82,31854
12/2019,83,79732
12/2019,85,123274
12/2019,87,38003
12/2019,89,41650
12/2019,91,15969
12/2019,92,7253
12/2019,93,32289
12/2019,94,43315
12/2019,95,12286
12/2019,103,6842
12/2019,104,427
12/2019,105,3673
12/2019,115,4120
12/2019,120,7507
12/2019,150,3589
12/2019,154,8317
12/2019,CityLink Blue,224788
12/2019,CityLink Brown,183890
12/2019,CityLink Gold,243231
12/2019,CityLink Green,168659
12/2019,CityLink Lime,136406
12/2019,CityLink Navy,191989
12/2019,CityLink Orange,223354
12/2019,CityLink Pink,163677
12/2019,CityLink Purple,155456
12/2019,CityLink Red,275281
12/2019,CityLink Silver,158237
12/2019,CityLink Yellow,183382
01/2020,21,53745
01/2020,22,200442
01/2020,26,127599
01/2020,28,86072
01/2020,29,101850
01/2020,30,139368
01/2020,31,84320
01/2020,33,24077
01/2020,34,22904
01/2020,36,60149
01/2020,37,57058
01/2020,38,2440
01/2020,51,38778
01/2020,52,5919
01/2020,53,108278
01/2020,54,187180
01/2020,56,118401
01/2020,57,10443
01/2020,59,32963
01/2020,62,62330
01/2020,63,53055
01/2020,65,39071
01/2020,67,20495
01/2020,69,37821
01/2020,70,48100
01/2020,71,40564
01/2020,73,33735
01/2020,75,40195
01/2020,76,66438
01/2020,77,46012
01/2020,78,107166
01/2020,79,40730
01/2020,80,205189
01/2020,81,43954
01/2020,82,36110
01/2020,83,84606
01/2020,85,127754
01/2020,87,41647
01/2020,89,43416
01/2020,91,17950
01/2020,92,7143
01/2020,93,30823
01/2020,94,46359
01/2020,95,16943
01/2020,103,8418
01/2020,104,490
01/2020,105,4303
01/2020,115,4405
01/2020,120,9579
01/2020,150,3635
01/2020,154,7935
01/2020,CityLink Blue,231611
01/2020,CityLink Brown,196894
01/2020,CityLink Gold,253664
01/2020,CityLink Green,183603
01/2020,CityLink Lime,151208
01/2020,CityLink Navy,197092
01/2020,CityLink Orange,234305
01/2020,CityLink Pink,175797
01/2020,CityLink Purple,159241
01/2020,CityLink Red,296663
01/2020,CityLink Silver,163571
01/2020,CityLink Yellow,184394
02/2020,21,50883
02/2020,22,199551
02/2020,26,123708
02/2020,28,87889
02/2020,29,101593
02/2020,30,138301
02/2020,31,82319
02/2020,33,20550
02/2020,34,21978
02/2020,36,58401
02/2020,37,60786
02/2020,38,2665
02/2020,51,36828
02/2020,52,5990
02/2020,53,104072
02/2020,54,180684
02/2020,56,119252
02/2020,57,9526
02/2020,59,31888
02/2020,62,60490
02/2020,63,47738
02/2020,65,35902
02/2020,67,18789
02/2020,69,34621
02/2020,70,47907
02/2020,71,36904
02/2020,73,29122
02/2020,75,33855
02/2020,76,66906
02/2020,77,41366
02/2020,78,101444
02/2020,79,40360
02/2020,80,185307
02/2020,81,41934
02/2020,82,33262
02/2020,83,76105
02/2020,85,129893
02/2020,87,39668
02/2020,89,41817
02/2020,91,17812
02/2020,92,6566
02/2020,93,29205
02/2020,94,43071
02/2020,95,15007
02/2020,103,7195
02/2020,104,407
02/2020,105,3744
02/2020,115,4953
02/2020,120,8313
02/2020,150,3232
02/2020,154,7895
02/2020,CityLink Blue,230410
02/2020,CityLink Brown,188417
02/2020,CityLink Gold,239859
02/2020,CityLink Green,170292
02/2020,CityLink Lime,145490
02/2020,CityLink Navy,190951
02/2020,CityLink Orange,231432
02/2020,CityLink Pink,174308
02/2020,CityLink Purple,154706
02/2020,CityLink Red,276699
02/2020,CityLink Silver,157385
02/2020,CityLink Yellow,173331
03/2020,21,44559
03/2020,22,168952
03/2020,26,101691
03/2020,28,72801
03/2020,29,86706
03/2020,30,114491
03/2020,31,70633
03/2020,33,17411
03/2020,34,18612
03/2020,36,48811
03/2020,37,49841
03/2020,38,2001
03/2020,51,35067
03/2020,52,4307
03/2020,53,90923
03/2020,54,157569
03/2020,56,102717
03/2020,57,9088
03/2020,59,27958
03/2020,62,52685
03/2020,63,44619
03/2020,65,31505
03/2020,67,14992
03/2020,69,32030
03/2020,70,40624
03/2020,71,32091
03/2020,73,26764
03/2020,75,27521
03/2020,76,59531
03/2020,77,40123
03/2020,78,95207
03/2020,79,39273
03/2020,80,175644
03/2020,81,35922
03/2020,82,30831
03/2020,83,69171
03/2020,85,116093
03/2020,87,34193
03/2020,89,37796
03/2020,91,15586
03/2020,92,6618
03/2020,93,25928
03/2020,94,37014
03/2020,95,11960
03/2020,103,5726
03/2020,104,255
03/2020,105,3023
03/2020,115,3629
03/2020,120,7507
03/2020,150,2575
03/2020,154,6357
03/2020,CityLink Blue,200561
03/2020,CityLink Brown,159464
03/2020,CityLink Gold,202881
03/2020,CityLink Green,141289
03/2020,CityLink Lime,131859
03/2020,CityLink Navy,165596
03/2020,CityLink Orange,196824
03/2020,CityLink Pink,150375
03/2020,CityLink Purple,124571
03/2020,CityLink Red,212364
03/2020,CityLink Silver,129081
03/2020,CityLink Yellow,163750
04/2020,21,28166
04/2020,22,90558
04/2020,26,44772
04/2020,28,28935
04/2020,29,56164
04/2020,30,63135
04/2020,31,41089
04/2020,33,5912
04/2020,34,8085
04/2020,36,25820
04/2020,37,24753
04/2020,38,78
04/2020,51,18282
04/2020,52,2982
04/2020,53,39043
04/2020,54,82529
04/2020,56,53830
04/2020,57,3078
04/2020,59,16760
04/2020,62,27641
04/2020,63,32653
04/2020,65,21663
04/2020,67,8578
04/2020,69,18824
04/2020,70,24682
04/2020,71,18156
04/2020,73,12019
04/2020,75,16137
04/2020,76,27741
04/2020,77,20813
04/2020,78,51382
04/2020,79,21338
04/2020,80,100270
04/2020,81,16530
04/2020,82,16186
04/2020,83,39211
04/2020,85,78302
04/2020,87,16617
04/2020,89,21300
04/2020,91,11922
04/2020,92,14
04/2020,93,15565
04/2020,94,15521
04/2020,95,3314
04/2020,103,337
04/2020,104,21
04/2020,105,147
04/2020,115,269
04/2020,120,353
04/2020,150,120
04/2020,154,120
04/2020,CityLink Blue,135669
04/2020,CityLink Brown,86627
04/2020,CityLink Gold,131159
04/2020,CityLink Green,74543
04/2020,CityLink Lime,84905
04/2020,CityLink Navy,99758
04/2020,CityLink Orange,124146
04/2020,CityLink Pink,88185
04/2020,CityLink Purple,71904
04/2020,CityLink Red,148650
04/2020,CityLink Silver,63716
04/2020,CityLink Yellow,106610
05/2020,21,34058
05/2020,22,80442
05/2020,26,39654
05/2020,28,29506
05/2020,29,54957
05/2020,30,59140
05/2020,31,42854
05/2020,33,5259
05/2020,34,10552
05/2020,36,27636
05/2020,37,23270
05/2020,38,
05/2020,51,16304
05/2020,52,3356
05/2020,53,45744
05/2020,54,81285
05/2020,56,56114
05/2020,57,4558
05/2020,59,19810
05/2020,62,29802
05/2020,63,42672
05/2020,65,25178
05/2020,67,6995
05/2020,69,21838
05/2020,70,23437
05/2020,71,22987
05/2020,73,15703
05/2020,75,13889
05/2020,76,27562
05/2020,77,23821
05/2020,78,54276
05/2020,79,26679
05/2020,80,101947
05/2020,81,19107
05/2020,82,17716
05/2020,83,47673
05/2020,85,89425
05/2020,87,14796
05/2020,89,25715
05/2020,91,12811
05/2020,92,
05/2020,93,15263
05/2020,94,13187
05/2020,95,557
05/2020,103,
05/2020,104,
05/2020,105,
05/2020,115,
05/2020,120,
05/2020,150,
05/2020,154,
05/2020,CityLink Blue,120276
05/2020,CityLink Brown,88344
05/2020,CityLink Gold,124196
05/2020,CityLink Green,81761
05/2020,CityLink Lime,82529
05/2020,CityLink Navy,104721
05/2020,CityLink Orange,115287
05/2020,CityLink Pink,86312
05/2020,CityLink Purple,82456
05/2020,CityLink Red,140223
05/2020,CityLink Silver,66600
05/2020,CityLink Yellow,103961
06/2020,21,38444
06/2020,22,89257
06/2020,26,43773
06/2020,28,32285
06/2020,29,65759
06/2020,30,67947
06/2020,31,51855
06/2020,33,6521
06/2020,34,13485
06/2020,36,35907
06/2020,37,29043
06/2020,38,
06/2020,51,19323
06/2020,52,4146
06/2020,53,50573
06/2020,54,105456
06/2020,56,62656
06/2020,57,4770
06/2020,59,22609
06/2020,62,34855
06/2020,63,46961
06/2020,65,26167
06/2020,67,9041
06/2020,69,22018
06/2020,70,30743
06/2020,71,25850
06/2020,73,19848
06/2020,75,14649
06/2020,76,36424
06/2020,77,25293
06/2020,78,60629
06/2020,79,27567
06/2020,80,115594
06/2020,81,25933
06/2020,82,20529
06/2020,83,53447
06/2020,85,97105
06/2020,87,19753
06/2020,89,30117
06/2020,91,15779
06/2020,92,
06/2020,93,19754
06/2020,94,14764
06/2020,95,562
06/2020,103,
06/2020,104,
06/2020,105,
06/2020,115,
06/2020,120,
06/2020,150,
06/2020,154,
06/2020,CityLink Blue,132145
06/2020,CityLink Brown,100107
06/2020,CityLink Gold,138010
06/2020,CityLink Green,95998
06/2020,CityLink Lime,87875
06/2020,CityLink Navy,111913
06/2020,CityLink Orange,136586
06/2020,CityLink Pink,95030
06/2020,CityLink Purple,91758
06/2020,CityLink Red,160849
06/2020,CityLink Silver,78036
06/2020,CityLink Yellow,109002
07/2020,21,35757
07/2020,22,113459
07/2020,26,65190
07/2020,28,44053
07/2020,29,58374
07/2020,30,78623
07/2020,31,44218
07/2020,33,7835
07/2020,34,12039
07/2020,36,37928
07/2020,37,37379
07/2020,38,
07/2020,51,19603
07/2020,52,3992
07/2020,53,62062
07/2020,54,109541
07/2020,56,77718
07/2020,57,4645
07/2020,59,20985
07/2020,62,36458
07/2020,63,48914
07/2020,65,31996
07/2020,67,11734
07/2020,69,24344
07/2020,70,32613
07/2020,71,16889
07/2020,73,22014
07/2020,75,19931
07/2020,76,42500
07/2020,77,33333
07/2020,78,64749
07/2020,79,24561
07/2020,80,112767
07/2020,81,22930
07/2020,82,19102
07/2020,83,60760
07/2020,85,100180
07/2020,87,25361
07/2020,89,26719
07/2020,91,14244
07/2020,92,
07/2020,93,23209
07/2020,94,19745
07/2020,95,5660
07/2020,103,
07/2020,104,
07/2020,105,
07/2020,115,
07/2020,120,
07/2020,150,
07/2020,154,
07/2020,CityLink Blue,149528
07/2020,CityLink Brown,123157
07/2020,CityLink Gold,165876
07/2020,CityLink Green,115617
07/2020,CityLink Lime,99517
07/2020,CityLink Navy,132394
07/2020,CityLink Orange,160740
07/2020,CityLink Pink,117320
07/2020,CityLink Purple,100355
07/2020,CityLink Red,170157
07/2020,CityLink Silver,84911
07/2020,CityLink Yellow,136172
08/2020,21,32812
08/2020,22,124887
08/2020,26,71241
08/2020,28,42568
08/2020,29,59188
08/2020,30,84814
08/2020,31,55618
08/2020,33,8776
08/2020,34,12659
08/2020,36,35729
08/2020,37,32345
08/2020,38,
08/2020,51,21472
08/2020,52,4037
08/2020,53,64538
08/2020,54,116618
08/2020,56,81339
08/2020,57,5123
08/2020,59,24262
08/2020,62,34364
08/2020,63,45622
08/2020,65,31025
08/2020,67,13003
08/2020,69,24288
08/2020,70,29482
08/2020,71,20279
08/2020,73,20858
08/2020,75,20029
08/2020,76,41731
08/2020,77,30707
08/2020,78,67925
08/2020,79,24124
08/2020,80,132798
08/2020,81,28072
08/2020,82,21835
08/2020,83,54247
08/2020,85,96844
08/2020,87,25172
08/2020,89,32201
08/2020,91,9439
08/2020,92,
08/2020,93,20510
08/2020,94,21030
08/2020,95,5329
08/2020,103,
08/2020,104,
08/2020,105,
08/2020,115,
08/2020,120,
08/2020,150,
08/2020,154,
08/2020,CityLink Blue,154506
08/2020,CityLink Brown,125611
08/2020,CityLink Gold,156804
08/2020,CityLink Green,102994
08/2020,CityLink Lime,107575
08/2020,CityLink Navy,129643
08/2020,CityLink Orange,163474
08/2020,CityLink Pink,124383
08/2020,CityLink Purple,102115
08/2020,CityLink Red,182709
08/2020,CityLink Silver,92146
08/2020,CityLink Yellow,131426
09/2020,21,31166
09/2020,22,156852
09/2020,26,66237
09/2020,28,39118
09/2020,29,56664
09/2020,30,76856
09/2020,31,48774
09/2020,33,7415
09/2020,34,11799
09/2020,36,36697
09/2020,37,31765
09/2020,38,
09/2020,51,22529
09/2020,52,2986
09/2020,53,65010
09/2020,54,112421
09/2020,56,78305
09/2020,57,4028
09/2020,59,20273
09/2020,62,34607
09/2020,63,45928
09/2020,65,30515
09/2020,67,13483
09/2020,69,24406
09/2020,70,29970
09/2020,71,17671
09/2020,73,19265
09/2020,75,19125
09/2020,76,40195
09/2020,77,29927
09/2020,78,61409
09/2020,79,24490
09/2020,80,117995
09/2020,81,23658
09/2020,82,20627
09/2020,83,53709
09/2020,85,85739
09/2020,87,23255
09/2020,89,30273
09/2020,91,12843
09/2020,92,
09/2020,93,21245
09/2020,94,20958
09/2020,95,5887
09/2020,103,
09/2020,104,
09/2020,105,
09/2020,115,
09/2020,120,
09/2020,150,
09/2020,154,
09/2020,CityLink Blue,146537
09/2020,CityLink Brown,116453
09/2020,CityLink Gold,161609
09/2020,CityLink Green,102999
09/2020,CityLink Lime,99017
09/2020,CityLink Navy,127116
09/2020,CityLink Orange,156823
09/2020,CityLink Pink,115997
09/2020,CityLink Purple,91609
09/2020,CityLink Red,185284
09/2020,CityLink Silver,83082
09/2020,CityLink Yellow,121591
10/2020,21,32278
10/2020,22,126043
10/2020,26,68481
10/2020,28,42214
10/2020,29,65798
10/2020,30,83470
10/2020,31,48471
10/2020,33,9622
10/2020,34,11940
10/2020,36,40056
10/2020,37,35300
10/2020,38,
10/2020,51,23963
10/2020,52,3526
10/2020,53,65505
10/2020,54,114925
10/2020,56,83962
10/2020,57,5527
10/2020,59,19789
10/2020,62,38395
10/2020,63,47627
10/2020,65,28297
10/2020,67,14289
10/2020,69,25444
10/2020,70,31143
10/2020,71,21093
10/2020,73,21929
10/2020,75,18225
10/2020,76,41275
10/2020,77,33518
10/2020,78,69952
10/2020,79,26897
10/2020,80,132558
10/2020,81,25027
10/2020,82,21198
10/2020,83,57608
10/2020,85,100235
10/2020,87,24902
10/2020,89,27762
10/2020,91,9420
10/2020,92,
10/2020,93,21084
10/2020,94,22881
10/2020,95,6437
10/2020,103,
10/2020,104,
10/2020,105,
10/2020,115,
10/2020,120,
10/2020,150,
10/2020,154,
10/2020,CityLink Blue,166158
10/2020,CityLink Brown,129258
10/2020,CityLink Gold,183281
10/2020,CityLink Green,122756
10/2020,CityLink Lime,103622
10/2020,CityLink Navy,144951
10/2020,CityLink Orange,171245
10/2020,CityLink Pink,126245
10/2020,CityLink Purple,101195
10/2020,CityLink Red,187423
10/2020,CityLink Silver,99149
10/2020,CityLink Yellow,136842
11/2020,21,28027
11/2020,22,114592
11/2020,26,60571
11/2020,28,35753
11/2020,29,55802
11/2020,30,69164
11/2020,31,41719
11/2020,33,9291
11/2020,34,10884
11/2020,36,32515
11/2020,37,29575
11/2020,38,
11/2020,51,18135
11/2020,52,4141
11/2020,53,57949
11/2020,54,104213
11/2020,56,72234
11/2020,57,4273
11/2020,59,18048
11/2020,62,33246
11/2020,63,46149
11/2020,65,26004
11/2020,67,11169
11/2020,69,19982
11/2020,70,27267
11/2020,71,17160
11/2020,73,18559
11/2020,75,17101
11/2020,76,37065
11/2020,77,28789
11/2020,78,63834
11/2020,79,21390
11/2020,80,107405
11/2020,81,21728
11/2020,82,17730
11/2020,83,45357
11/2020,85,74733
11/2020,87,20636
11/2020,89,26455
11/2020,91,12184
11/2020,92,
11/2020,93,18561
11/2020,94,18383
11/2020,95,5875
11/2020,103,
11/2020,104,
11/2020,105,
11/2020,115,
11/2020,120,
11/2020,150,
11/2020,154,
11/2020,CityLink Blue,141717
11/2020,CityLink Brown,110368
11/2020,CityLink Gold,144343
11/2020,CityLink Green,108635
11/2020,CityLink Lime,85735
11/2020,CityLink Navy,123793
11/2020,CityLink Orange,153905
11/2020,CityLink Pink,117902
11/2020,CityLink Purple,92725
11/2020,CityLink Red,167729
11/2020,CityLink Silver,78900
11/2020,CityLink Yellow,113038
12/2020,21,25979
12/2020,22,102178
12/2020,26,58386
12/2020,28,33190
12/2020,29,51552
12/2020,30,65896
12/2020,31,39612
12/2020,33,7927
12/2020,34,9142
12/2020,36,32757
12/2020,37,25116
12/2020,38,
12/2020,51,19598
12/2020,52,2890
12/2020,53,52237
12/2020,54,100707
12/2020,56,72089
12/2020,57,4234
12/2020,59,16500
12/2020,62,31342
12/2020,63,41668
12/2020,65,23126
12/2020,67,10972
12/2020,69,21103
12/2020,70,25570
12/2020,71,14796
12/2020,73,16709
12/2020,75,16839
12/2020,76,34207
12/2020,77,26455
12/2020,78,56663
12/2020,79,21111
12/2020,80,103930
12/2020,81,19388
12/2020,82,17628
12/2020,83,46495
12/2020,85,73397
12/2020,87,20593
12/2020,89,24343
12/2020,91,10188
12/2020,92,
12/2020,93,17010
12/2020,94,18160
12/2020,95,5479
12/2020,103,
12/2020,104,
12/2020,105,
12/2020,115,
12/2020,120,
12/2020,150,
12/2020,154,
12/2020,CityLink Blue,130069
12/2020,CityLink Brown,94944
12/2020,CityLink Gold,134164
12/2020,CityLink Green,92236
12/2020,CityLink Lime,84791
12/2020,CityLink Navy,113797
12/2020,CityLink Orange,143659
12/2020,CityLink Pink,108009
12/2020,CityLink Purple,82823
12/2020,CityLink Red,161519
12/2020,CityLink Silver,70863
12/2020,CityLink Yellow,109372
01/2021,21,25281
01/2021,22,103109
01/2021,26,55799
01/2021,28,31689
01/2021,29,47873
01/2021,30,67662
01/2021,31,39742
01/2021,33,8765
01/2021,34,8776
01/2021,36,30135
01/2021,37,25177
01/2021,38,
01/2021,51,18041
01/2021,52,3865
01/2021,53,53002
01/2021,54,87882
01/2021,56,64475
01/2021,57,3797
01/2021,59,13876
01/2021,62,29839
01/2021,63,36669
01/2021,65,22139
01/2021,67,10475
01/2021,69,20802
01/2021,70,26152
01/2021,71,17017
01/2021,73,19164
01/2021,75,16259
01/2021,76,31160
01/2021,77,25827
01/2021,78,54408
01/2021,79,20449
01/2021,80,102799
01/2021,81,23084
01/2021,82,17973
01/2021,83,49266
01/2021,85,75852
01/2021,87,18895
01/2021,89,24495
01/2021,91,11092
01/2021,92,
01/2021,93,15783
01/2021,94,18010
01/2021,95,5543
01/2021,103,
01/2021,104,
01/2021,105,
01/2021,115,
01/2021,120,
01/2021,150,
01/2021,154,
01/2021,160,
01/2021,CityLink Blue,126504
01/2021,CityLink Brown,94225
01/2021,CityLink Gold,134007
01/2021,CityLink Green,90321
01/2021,CityLink Lime,79136
01/2021,CityLink Navy,105503
01/2021,CityLink Orange,138130
01/2021,CityLink Pink,98023
01/2021,CityLink Purple,82064
01/2021,CityLink Red,155293
01/2021,CityLink Silver,72822
01/2021,CityLink Yellow,112217
01/2021,163,
02/2021,21,21123
02/2021,22,88292
02/2021,26,49703
02/2021,28,30303
02/2021,29,43589
02/2021,30,59769
02/2021,31,31580
02/2021,33,6883
02/2021,34,6857
02/2021,36,24889
02/2021,37,22587
02/2021,38,
02/2021,51,16280
02/2021,52,2530
02/2021,53,47211
02/2021,54,76057
02/2021,56,58010
02/2021,57,3227
02/2021,59,11798
02/2021,62,23876
02/2021,63,32667
02/2021,65,20916
02/2021,67,8568
02/2021,69,15819
02/2021,70,22270
02/2021,71,13333
02/2021,73,14161
02/2021,75,15057
02/2021,76,29244
02/2021,77,24423
02/2021,78,44875
02/2021,79,18563
02/2021,80,86184
02/2021,81,17475
02/2021,82,14496
02/2021,83,39160
02/2021,85,62261
02/2021,87,16866
02/2021,89,18426
02/2021,91,8409
02/2021,92,
02/2021,93,14523
02/2021,94,15716
02/2021,95,4620
02/2021,103,
02/2021,104,
02/2021,105,
02/2021,115,
02/2021,120,
02/2021,150,
02/2021,154,
02/2021,160,
02/2021,CityLink Blue,108267
02/2021,CityLink Brown,84468
02/2021,CityLink Gold,106747
02/2021,CityLink Green,79660
02/2021,CityLink Lime,69019
02/2021,CityLink Navy,96472
02/2021,CityLink Orange,117626
02/2021,CityLink Pink,90998
02/2021,CityLink Purple,75922
02/2021,CityLink Red,137230
02/2021,CityLink Silver,61351
02/2021,CityLink Yellow,91652
02/2021,163,
03/2021,21,28568
03/2021,22,107736
03/2021,26,65808
03/2021,28,34857
03/2021,29,52839
03/2021,30,73683
03/2021,31,40823
03/2021,33,8360
03/2021,34,9472
03/2021,36,30824
03/2021,37,28910
03/2021,38,
03/2021,51,20092
03/2021,52,3003
03/2021,53,56069
03/2021,54,95659
03/2021,56,74627
03/2021,57,4225
03/2021,59,17047
03/2021,62,30063
03/2021,63,36921
03/2021,65,23128
03/2021,67,11011
03/2021,69,20501
03/2021,70,26493
03/2021,71,14668
03/2021,73,18545
03/2021,75,17131
03/2021,76,36581
03/2021,77,26270
03/2021,78,58769
03/2021,79,22316
03/2021,80,109678
03/2021,81,23177
03/2021,82,18636
03/2021,83,50017
03/2021,85,74307
03/2021,87,20228
03/2021,89,27599
03/2021,91,10275
03/2021,92,
03/2021,93,17742
03/2021,94,18178
03/2021,95,5189
03/2021,103,
03/2021,104,
03/2021,105,
03/2021,115,
03/2021,120,
03/2021,150,
03/2021,154,
03/2021,160,
03/2021,CityLink Blue,133176
03/2021,CityLink Brown,103799
03/2021,CityLink Gold,137912
03/2021,CityLink Green,99838
03/2021,CityLink Lime,88569
03/2021,CityLink Navy,122268
03/2021,CityLink Orange,141387
03/2021,CityLink Pink,110596
03/2021,CityLink Purple,85174
03/2021,CityLink Red,164893
03/2021,CityLink Silver,75094
03/2021,CityLink Yellow,112098
03/2021,163,
04/2021,21,28559
04/2021,22,107396
04/2021,26,65183
04/2021,28,34215
04/2021,29,53332
04/2021,30,75651
04/2021,31,42011
04/2021,33,9144
04/2021,34,10002
04/2021,36,32383
04/2021,37,29901
04/2021,38,
04/2021,51,20369
04/2021,52,3240
04/2021,53,58398
04/2021,54,97121
04/2021,56,74362
04/2021,57,4489
04/2021,59,18245
04/2021,62,32906
04/2021,63,35919
04/2021,65,22745
04/2021,67,11865
04/2021,69,22324
04/2021,70,26743
04/2021,71,17064
04/2021,73,19953
04/2021,75,17548
04/2021,76,37555
04/2021,77,25981
04/2021,78,60209
04/2021,79,23025
04/2021,80,107222
04/2021,81,21573
04/2021,82,18795
04/2021,83,48694
04/2021,85,70830
04/2021,87,21274
04/2021,89,26831
04/2021,91,11457
04/2021,92,
04/2021,93,18210
04/2021,94,18041
04/2021,95,5366
04/2021,103,
04/2021,104,
04/2021,105,
04/2021,115,
04/2021,120,
04/2021,150,
04/2021,154,
04/2021,160,
04/2021,CityLink Blue,141204
04/2021,CityLink Brown,108793
04/2021,CityLink Gold,135031
04/2021,CityLink Green,102439
04/2021,CityLink Lime,86361
04/2021,CityLink Navy,120912
04/2021,CityLink Orange,150430
04/2021,CityLink Pink,115392
04/2021,CityLink Purple,88786
04/2021,CityLink Red,167741
04/2021,CityLink Silver,75244
04/2021,CityLink Yellow,111209
04/2021,163,
05/2021,21,28597
05/2021,22,109146
05/2021,26,60806
05/2021,28,32781
05/2021,29,52463
